college,ug_tuition,g_tuition,conf
University of Kentucky,"$33,406 ($13,212)","$35,459 ($14,330)",SEC
University of Missouri-Columbia,"$34,338 ($14,130)","$31,029 ($13,029)",SEC
University of South Carolina-Columbia,"$34,943 ($12,688)","$30,160 ($13,774)",SEC
The University of Tennessee-Knoxville,"$31,974 ($13,484)","$32,108 ($13,620)",SEC
Vanderbilt University,"$63,946","$56,128",SEC
The University of Alabama,"$33,200 ($11,900)","$33,040 ($11,740)",SEC
University of Arkansas,"$28,772 ($9,748)","$30,220 ($12,160)",SEC
Auburn University,"$33,944 ($12,536)","$33,908 ($12,524)",SEC
Louisiana State University and Agricultural & Mechanical College,"$28,631 ($11,954)","$29,962 ($13,027)",SEC
Mississippi State University,"$26,580 ($9,815)","$26,580 ($9,815)",SEC
University of Mississippi,"$26,980 ($9,412)","$26,980 ($9,412)",SEC
Texas A & M University-College Station,"$40,328 ($12,841)","$24,090 ($11,093)",SEC
